X*,Y*,date_index
3052636.748499221,-10926156.414395891,63.0
3100156.109895963,-10911856.173994591,64.0
3124866.6224528165,-10903382.28964324,65.0
3170428.5096450318,-10890725.756687341,66.0
3173833.1254466693,-10890753.978320051,67.0
3102624.5507743736,-10908954.05266154,68.0
3082187.9101375514,-10912349.472474292,69.0
3055761.194703973,-10918568.091738267,70.0
3047924.432465155,-10920067.949376807,71.0
3023094.602292612,-10940388.311259704,72.0
3016578.875538984,-10946058.398532595,73.0
3016233.8001305265,-10946355.732595654,74.0
3016233.8001305265,-10946355.732595654,75.0
3017272.629774764,-10944732.375853455,76.0
3025108.2521248646,-10932418.747970784,77.0
3059221.6607201225,-10908621.880917482,78.0
3070066.8244135976,-10902740.045624373,79.0
3075731.4241470583,-10902782.901035208,80.0
3078152.8555093454,-10907291.825945325,81.0
3067675.2052261857,-10937360.556786023,82.0
3062684.4455904644,-10949592.628788065,83.0
3091670.65655544,-10897973.736664236,84.0
3101990.985147246,-10892419.12492496,85.0
3108047.4060195447,-10884260.652253773,86.0
3108901.2179963603,-10878619.983778978,87.0
3121321.318076834,-10869238.883030126,88.0
3169583.2319608713,-10844779.468815703,89.0
3225476.6214522915,-10830646.469197426,90.0
3203486.722550088,-10835044.584547434,91.0
3130427.015150771,-10865319.334437696,92.0
3103265.232899067,-10878262.02266293,93.0
3170711.0603301083,-10873448.832001906,94.0
3205556.7127659144,-10872269.40947815,95.0
3154819.694948677,-10879067.094878055,96.0
3133248.3612670307,-10874743.226854922,97.0
3198613.017535013,-10821256.210897358,98.0
3164702.1184521364,-10843246.659294467,99.0
3127643.736132785,-10867330.179048188,100.0
3085109.2814367516,-10922029.192139743,101.0
3093907.0824527056,-10896887.399798693,102.0
3097792.0694647836,-10883624.828954305,103.0
3096960.1826340854,-10883070.54570135,104.0
3096881.469162682,-10882822.609222567,105.0
3097275.8359505194,-10882331.637589803,106.0
3101792.9396071937,-10880338.847358942,107.0
3103847.024189887,-10879463.146120813,108.0
3104568.0419626953,-10879266.419419942,109.0
3105028.468018019,-10880373.345839005,110.0
3099377.1648597675,-10882856.406785352,111.0
3104399.6092355223,-10877524.170188688,112.0
3186257.663911075,-10822736.017626816,113.0
3749179.2908996996,-10492483.46822176,114.0
4483889.1617597155,-10823661.153380582,115.0
5560965.1800661795,-11351374.87270616,116.0
5858908.768452413,-11481758.100881228,117.0
5966811.083612647,-11527722.994845094,118.0
5983885.389997445,-11528535.495634554,119.0
6248360.409514017,-11698247.031097049,120.0
6303877.090013832,-11710828.941271542,121.0
6231487.450199966,-11627478.194954896,122.0
6204804.056937738,-11597100.23391975,123.0
6265070.075740065,-11622770.030591464,124.0
6269064.763389125,-11623385.227778314,125.0
6114453.7451240895,-11558417.825146504,126.0
6051139.7870910885,-11517314.02638506,127.0
6109639.092834635,-11574893.778650647,128.0
6217233.387744877,-11642658.665759454,129.0
6255648.699621542,-11726931.655569449,130.0
6270997.85051781,-11751414.376312613,131.0
6274853.450998214,-11690540.07053998,132.0
6285514.071107984,-11659064.488500942,133.0
6367545.421927132,-11669368.004361587,134.0
6414717.211570539,-11776555.025869705,135.0
6435052.790633303,-11747259.276312834,136.0
6460757.92123293,-11700823.41729777,137.0
6497063.508524201,-11808236.766957462,138.0
6510902.72261917,-11862325.080298068,139.0
6494271.825425092,-11870069.094732227,140.0
6314024.770238179,-11818723.881590264,141.0
6268458.250850483,-11827275.696472753,142.0
6271922.764246868,-11827166.070150902,143.0
6275498.006679475,-11822096.09432365,144.0
6283434.598980414,-11809223.361988366,145.0
6294749.331993605,-11852927.253478125,146.0
6303042.563497663,-11889222.928467112,147.0
6302224.342645722,-11915800.322982995,148.0
6305877.797363378,-11929674.800778575,149.0
6327782.383017907,-11930693.679457402,150.0
6421819.932249848,-12012695.763544323,151.0
6432308.648156452,-12170174.017688531,152.0
6428547.327550614,-12233831.442763628,153.0
6405627.883421865,-12238169.151145434,154.0
6370193.699940684,-12207792.5375643,155.0
6299923.951269345,-12070361.92954597,156.0
6217361.208927233,-12055149.06802439,157.0
6254956.224637784,-11990270.347860465,158.0
6250274.608722137,-11979282.243224734,159.0
6288138.599634877,-11929377.83587519,160.0
6316292.1054465035,-11857706.58098007,161.0
6335124.953143117,-11894016.891871555,162.0
6328412.905744425,-11979857.236714832,163.0
6588604.562974782,-11960196.34574688,164.0
6649010.499052419,-11949773.880813828,165.0
6639937.458675887,-11945504.762887402,166.0
6591063.933017563,-11966890.74365573,167.0
6548352.278909465,-11985555.981300296,168.0
6550595.308081522,-11925814.805894136,169.0
6610784.956267272,-11860013.60174314,170.0
6629502.908107891,-11844490.248175321,171.0
6687555.1840343,-11871763.844887625,172.0
6737395.260316843,-11878184.776482452,173.0
6797490.237523067,-11873857.992655704,174.0
6819054.135360099,-11874227.539447162,175.0
6846564.511493535,-11882771.612175753,176.0
6856428.447430614,-11892326.867816415,177.0
6847193.045248261,-11904030.594308682,178.0
6873550.641380589,-11862744.049037552,179.0
6960908.055215874,-11705779.204102473,180.0
6657156.283200827,-11579691.598538555,181.0
6478195.66524989,-11689728.347051099,182.0
6564082.440756396,-11791484.84961851,183.0
6606844.501766745,-11794488.752419103,184.0
6620956.771668337,-11806318.946495257,185.0
6618975.75302357,-11818453.955723807,186.0
6625985.7461047135,-11842460.635610402,187.0
6624346.742019483,-11934762.484197395,188.0
6583395.13821851,-11891623.600239381,189.0
6404984.002385679,-12020205.956083313,190.0
6351054.862771578,-12086207.288936581,191.0
6350883.334538373,-12093597.27286568,192.0
6378600.76653255,-12068344.838036513,193.0
6371521.8202338405,-11989033.36335784,194.0
6490221.11991467,-11935475.618472379,195.0
6585469.607353565,-11936501.099949045,196.0
6593804.251989204,-11903995.528958948,197.0
6462693.098924879,-11946327.137059473,198.0
6398655.216695111,-11961646.130989242,199.0
6346093.309564949,-11946174.158821976,200.0
6237295.124779734,-11822975.98761997,201.0
6265004.339304763,-11901125.49175798,202.0
6285495.835797756,-11962316.54925536,203.0
6226827.05241833,-11980549.775367651,204.0
6190643.271473568,-11985744.888674047,205.0
6221007.941703278,-11985535.498377929,206.0
6231945.482423587,-11985364.422839114,207.0
6233225.612264876,-11985335.118421488,208.0
6233420.104175666,-11982643.850817323,209.0
6274437.041003412,-11954054.404332675,210.0
6248823.22584354,-11970979.52094174,211.0
6247186.65098328,-11973516.588591076,212.0
6269047.980017186,-11937823.94033463,213.0
6317520.38693673,-11901233.65803401,214.0
6399988.861091888,-11850940.520329759,215.0
6325068.247245561,-11882845.494848127,216.0
6292013.1664994415,-11899872.174009623,217.0
6252147.706101846,-11940117.883115709,218.0
6266152.1270426465,-12063394.653262772,219.0
6275299.823037471,-12102390.685115522,220.0
6278236.962673146,-12108447.721989086,221.0
6300785.07499765,-12136348.962113881,222.0
6310293.305083131,-12142906.055769222,223.0
6329029.31965507,-12118568.879739285,224.0
6458491.504058864,-11961953.481771963,225.0
6478612.342773539,-11799387.932118129,226.0
