LATITUDE,LONGITUDE,OBSERVATION DATE
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3096966.6799724447,-10883787.243565537,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
3095027.669314372,-10876064.465023704,43174
2999790.261846309,-10844560.692906838,43174
2999790.261846309,-10844560.692906838,43174
3639818.02411771,-10843652.815667724,43174
3016233.8001305303,-10946355.732595636,43174
3016233.8001305303,-10946355.732595636,43174
3096966.6799724447,-10883787.243565537,43175
3096966.6799724447,-10883787.243565537,43175
3096966.6799724447,-10883787.243565537,43175
3096966.6799724447,-10883787.243565537,43175
3096966.6799724447,-10883787.243565537,43175
3096966.6799724447,-10883787.243565537,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
3095027.669314372,-10876064.465023704,43175
2999790.261846309,-10844560.692906838,43175
2999790.261846309,-10844560.692906838,43175
3639818.02411771,-10843652.815667724,43175
3016233.8001305303,-10946355.732595636,43175
3016233.8001305303,-10946355.732595636,43175
3134373.229614278,-10885097.133334536,43175
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
3095027.669314372,-10876064.465023704,43176
2999790.261846309,-10844560.692906838,43176
2999790.261846309,-10844560.692906838,43176
3639818.02411771,-10843652.815667724,43176
3016233.8001305303,-10946355.732595636,43176
3016233.8001305303,-10946355.732595636,43176
3096966.6799724447,-10883787.243565537,43176
3096966.6799724447,-10883787.243565537,43176
3096966.6799724447,-10883787.243565537,43176
3096966.6799724447,-10883787.243565537,43176
3593870.2319748183,-10838037.415274147,43176
3134373.229614278,-10885097.133334536,43176
3016233.8001305303,-10946355.732595636,43177
3016233.8001305303,-10946355.732595636,43177
3016233.8001305303,-10946355.732595636,43177
3016233.8001305303,-10946355.732595636,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
3095027.669314372,-10876064.465023704,43177
2999790.261846309,-10844560.692906838,43177
2999790.261846309,-10844560.692906838,43177
3639818.02411771,-10843652.815667724,43177
3016233.8001305303,-10946355.732595636,43177
