X,Y,date_index
3101349.935543098,-10881161.466286926,102.0
3096989.0464742384,-10883778.678973747,103.0
3096792.908758251,-10883007.257578747,104.0
3096758.154515413,-10882851.260381384,105.0
3096643.511529433,-10882500.11380856,106.0
3104200.591086874,-10879306.616078723,107.0
3104200.591086874,-10879306.616078723,108.0
3104803.417013076,-10878933.230454825,109.0
3106952.467618624,-10880279.261395236,110.0
3096966.679972444,-10883787.243565535,111.0
3096966.679972444,-10883787.243565535,112.0
3096966.6799724447,-10883787.243565535,113.0
3830273.818633912,-10260987.888049329,114.0
4692993.687220607,-11006658.20485413,115.0
5963922.925030455,-11534279.193975516,116.0
5963922.925030455,-11534279.193975516,117.0
5975975.799434187,-11527537.0187784,118.0
5935321.128328932,-11496349.970402976,119.0
6302981.427631244,-11736590.55306684,120.0
6327579.366270569,-11713832.086782811,121.0
6192139.741140653,-11588452.37909088,122.0
6181267.117053176,-11582582.119481817,123.0
6287417.893623075,-11634183.754293457,124.0
6301265.434747585,-11635648.657241078,125.0
6083077.218778431,-11549334.356797224,126.0
6018767.441458041,-11491019.483340526,127.0
6120747.834118603,-11598553.929518972,128.0
6253191.013241788,-11641822.626062045,129.0
6271677.237183181,-11768168.229518978,130.0
6271677.237183183,-11768168.22951898,131.0
6270469.575133828,-11653780.330755243,132.0
6270469.575133828,-11653780.330755243,133.0
6403717.042087133,-11658967.403433446,134.0
6422476.94152774,-11837452.441606795,135.0
6435666.264623072,-11729590.45701605,136.0
6455747.14082889,-11654513.473500308,137.0
6516718.068218949,-11872857.123269135,138.0
6516718.068218949,-11872857.123269135,139.0
6521684.3526596,-11879166.700875351,140.0
6220388.74587217,-11785817.47064381,141.0
6275120.596859618,-11839342.786016356,142.0
6269676.97969957,-11822566.757959437,143.0
6275718.910016228,-11824804.646072114,144.0
6287456.781097995,-11792628.198497726,145.0
6297838.892739645,-11872657.73672663,146.0
6307604.51699249,-11896854.496766414,147.0
6296846.257099332,-11920906.439234411,148.0
6301244.556836354,-11937237.35053518,149.0
6318765.633778991,-11916081.154450936,150.0
6480479.611769725,-12023100.96665153,151.0
6418458.86556923,-12240656.36799795,152.0
6438306.143962871,-12271592.17047205,153.0
6407663.312035401,-12246838.48698297,154.0
6370611.04908563,-12220352.30487742,155.0
6293801.607006371,-12013702.000385497,156.0
6178506.657319618,-12075511.039125,157.0
6283387.740854971,-11955159.223151134,158.0
6240932.800143061,-11982684.409220343,159.0
6292195.686383833,-11934305.466692552,160.0
6325543.167507415,-11812956.633484265,161.0
6342790.943720806,-11899141.973969577,162.0
6248482.853158343,-12011214.083614836,163.0
6660987.311230739,-11950962.357171943,164.0
6671264.792246826,-11945511.23396838,165.0
6640988.327388567,-11941919.296981134,166.0
6576115.021902164,-11974292.755163291,167.0
6526146.118825928,-12005478.442130586,168.0
6543782.971640021,-11915064.750761831,169.0
6635059.426123467,-11838310.930730091,170.0
6623481.292987161,-11835833.49653064,171.0
6716723.0667134775,-11887710.41414614,172.0
6744513.967705488,-11881483.107679453,173.0
6812308.858673446,-11870191.611457936,174.0
6819101.955115477,-11873552.33147152,175.0
6861759.1704466,-11886580.010119583,176.0
6857416.783942744,-11892937.659378106,177.0
